Sample,Synthesis,Treatment,Initial sample temperature (K),Yield stress (Mpa),Ultimate  stress (Mpa),KIC (Mpa*m^0.5),Hardness,B (Gpa) ,G (Gpa),E (Gpa) ,Mu,Melting point (K),Sample thickness (mm),Sample diameter (mm),Grain size (µm),Initial density (g/cm3),Longitudinal sound speed (m/s),Shear sound speed (ms),Bulk sound speed (m/s),Flyer,Flyer (processed),Flyer thickness (mm),Flyer diameter (mm),impact velocity (m/s),Peak Stress (Gpa),Strain rate (10^5 s^-1),Pulse duration (µs),Type of experiment,Gas gun diameter (mm),Spall (Gpa),Spall direction,Refereces
Al 5083,"Long process, see the second page",,,207,290,49,88,71.8±0.6,27.2±0.1,72.4±0.7,0.332±0.007,1137.5,10,10,34±11,2.664±0.007,6367±3,3193±4,,Al 5083,1,5,,743,5.5,,,,,0.92,,"Whelchel, R. L., Sanders Jr, T. H., & Thadhani, N. N. (2014). Spall and dynamic yield behavior of an annealed aluminum–magnesium alloy. Scripta Materialia, 92, 59-62."
Al0.1CoCrFeNi,The as-cast Al 0.1 CoCrFeNi HEA was commercially produced by Beijing Yanbang New Materials Co. Ltd,,,199,531,14,458,172,81,211,0.296,1723,1.98,,200,8.05,5905,3176,,Al 0.1 CoCrFeNi,1,1,,208,4.094,0.94,0.34,14-mm bore single-stage gas gun,14,3.256,,"Zhang, N. B., Xu, J., Feng, Z. D., Sun, Y. F., Huang, J. Y., Zhao, X. J., ... & Luo, S. N. (2022). Shock compression and spallation damage of high-entropy alloy Al0. 1CoCrFeNi. Journal of Materials Science & Technology, 128, 1-9."
Al0.1CoCrFeNi,The as-cast Al 0.1 CoCrFeNi HEA was commercially produced by Beijing Yanbang New Materials Co. Ltd,,,199,531,14,458,172,81,211,0.296,1723,1.986,,200,8.05,5905,3176,,Al 0.1 CoCrFeNi,1,1,,307,6.056,1.554,0.34,14-mm bore single-stage gas gun,14,3.635,,"Zhang, N. B., Xu, J., Feng, Z. D., Sun, Y. F., Huang, J. Y., Zhao, X. J., ... & Luo, S. N. (2022). Shock compression and spallation damage of high-entropy alloy Al0. 1CoCrFeNi. Journal of Materials Science & Technology, 128, 1-9."
Al0.1CoCrFeNi,The as-cast Al 0.1 CoCrFeNi HEA was commercially produced by Beijing Yanbang New Materials Co. Ltd,,,199,531,14,458,172,81,211,0.296,1723,1.98,,200,8.05,5905,3176,,Al 0.1 CoCrFeNi,1,1.003,,410,8.162,1.735,0.34,14-mm bore single-stage gas gun,14,3.534,,"Zhang, N. B., Xu, J., Feng, Z. D., Sun, Y. F., Huang, J. Y., Zhao, X. J., ... & Luo, S. N. (2022). Shock compression and spallation damage of high-entropy alloy Al0. 1CoCrFeNi. Journal of Materials Science & Technology, 128, 1-9."
Al0.1CoCrFeNi,The as-cast Al 0.1 CoCrFeNi HEA was commercially produced by Beijing Yanbang New Materials Co. Ltd,,,199,531,14,458,172,81,211,0.296,1723,1.987,,200,8.05,5905,3176,,Al 0.1 CoCrFeNi,1,0.997,,511,10.294,2.025,0.34,14-mm bore single-stage gas gun,14,3.735,,"Zhang, N. B., Xu, J., Feng, Z. D., Sun, Y. F., Huang, J. Y., Zhao, X. J., ... & Luo, S. N. (2022). Shock compression and spallation damage of high-entropy alloy Al0. 1CoCrFeNi. Journal of Materials Science & Technology, 128, 1-9."
Al0.1CoCrFeNi,The as-cast Al 0.1 CoCrFeNi HEA was commercially produced by Beijing Yanbang New Materials Co. Ltd,,,199,531,14,458,172,81,211,0.296,1723,2.008,,200,8.05,5905,3176,,Al 0.1 CoCrFeNi,1,0.99,,612,12.487,2.47,0.34,14-mm bore single-stage gas gun,14,3.844,,"Zhang, N. B., Xu, J., Feng, Z. D., Sun, Y. F., Huang, J. Y., Zhao, X. J., ... & Luo, S. N. (2022). Shock compression and spallation damage of high-entropy alloy Al0. 1CoCrFeNi. Journal of Materials Science & Technology, 128, 1-9."
Al0.1CoCrFeNi,The as-cast Al 0.1 CoCrFeNi HEA was commercially produced by Beijing Yanbang New Materials Co. Ltd,,,199,531,14,458,172,81,211,0.296,1723,1.998,,200,8.05,5905,3176,,Al 0.1 CoCrFeNi,1,1.006,,762,15.845,2.774,0.34,14-mm bore single-stage gas gun,14,4.04,,"Zhang, N. B., Xu, J., Feng, Z. D., Sun, Y. F., Huang, J. Y., Zhao, X. J., ... & Luo, S. N. (2022). Shock compression and spallation damage of high-entropy alloy Al0. 1CoCrFeNi. Journal of Materials Science & Technology, 128, 1-9."
Be S200F,"Beryllium samples were machined from a vacuum hot-pressed (VHP) billet of S200F grade Be obtained from Brush Welhnan, Inc. The initial density (po), BeO content, and average grain size of the material were 1.85 g/cm^, 0.72 wt.% and 11.4 /xm, respectively,",,,241,324,11,175,162,135,303,0.18,2165,3.985,28.8,11.4,1.85,13195,9055,,Be,1,2,28.8,721,5.56,,,40-mm single stage gas-gun,40,0.609,,"Adams, C. D., Anderson, W. W., Gray III, G. T., Blumenthal, W. R., Owens, C. T., Freibert, F. J., ... & Contreras, P. J. (2009, December). Spall and damage behavior of S200F beryllium. In AIP conference proceedings (Vol. 1195, No. 1, pp. 509-512). American Institute of Physics."
Be S200F,"Beryllium samples were machined from a vacuum hot-pressed (VHP) billet of S200F grade Be obtained from Brush Welhnan, Inc. The initial density (po), BeO content, and average grain size of the material were 1.85 g/cm^, 0.72 wt.% and 11.4 /xm, respectively,",,,241,324,11,175,162,135,303,0.18,2165,3.9665,28.8,11.4,1.85,13195,9055,,Be,1,2,28.8,1246,10.2,,,40-mm single stage gas-gun,40,0.638,,"Adams, C. D., Anderson, W. W., Gray III, G. T., Blumenthal, W. R., Owens, C. T., Freibert, F. J., ... & Contreras, P. J. (2009, December). Spall and damage behavior of S200F beryllium. In AIP conference proceedings (Vol. 1195, No. 1, pp. 509-512). American Institute of Physics."
Be S200F,"Beryllium samples were machined from a vacuum hot-pressed (VHP) billet of S200F grade Be obtained from Brush Welhnan, Inc. The initial density (po), BeO content, and average grain size of the material were 1.85 g/cm^, 0.72 wt.% and 11.4 /xm, respectively,",,,241,324,11,175,162,135,303,0.18,2165,5.963,28.8,11.4,1.85,13195,9055,,Sapphire,3,3,38.1,654,7.66,,,40-mm single stage gas-gun,40,0.572,,"Adams, C. D., Anderson, W. W., Gray III, G. T., Blumenthal, W. R., Owens, C. T., Freibert, F. J., ... & Contreras, P. J. (2009, December). Spall and damage behavior of S200F beryllium. In AIP conference proceedings (Vol. 1195, No. 1, pp. 509-512). American Institute of Physics."
Be S200F,"Beryllium samples were machined from a vacuum hot-pressed (VHP) billet of S200F grade Be obtained from Brush Welhnan, Inc. The initial density (po), BeO content, and average grain size of the material were 1.85 g/cm^, 0.72 wt.% and 11.4 /xm, respectively,",,,241,324,11,175,162,135,303,0.18,2165,3.9875,28.8,11.4,1.85,13195,9055,,Ta,4,1,38.1,1418,19.25,,,40-mm single stage gas-gun,40,0.526,,"Adams, C. D., Anderson, W. W., Gray III, G. T., Blumenthal, W. R., Owens, C. T., Freibert, F. J., ... & Contreras, P. J. (2009, December). Spall and damage behavior of S200F beryllium. In AIP conference proceedings (Vol. 1195, No. 1, pp. 509-512). American Institute of Physics."
Ce,"Long process, see the Method section",,,91,102,55,24,22,13,36,0.24,1071,2.032,38,50,6.77,,,,W,5,4.085,,,3.7,,,light gas gun,,0.265,,"Cherne, F. J., Rigg, P. A., Anderson, W. W., & Cooley, J. C. (2007, December). Examination of the spallation behavior of cerium metal. In AIP Conference Proceedings (Vol. 955, No. 1, pp. 489-492). American Institute of Physics."
Ce,"Long process, see the Method section",,,91,102,55,24,22,13,36,0.24,1071,1.892,38,50,6.77,,,,Sapphire,3,5.029,,,7.54,,,light gas gun,,0.287,,"Cherne, F. J., Rigg, P. A., Anderson, W. W., & Cooley, J. C. (2007, December). Examination of the spallation behavior of cerium metal. In AIP Conference Proceedings (Vol. 955, No. 1, pp. 489-492). American Institute of Physics."
Ce,"Long process, see the Method section",,,91,102,55,24,22,13,36,0.24,1071,1.541,38,50,6.77,,,,Quartz,2,3.01,,,5.26,,,light gas gun,,0.228,,"Cherne, F. J., Rigg, P. A., Anderson, W. W., & Cooley, J. C. (2007, December). Examination of the spallation behavior of cerium metal. In AIP Conference Proceedings (Vol. 955, No. 1, pp. 489-492). American Institute of Physics."
Ce,"Long process, see the Method section",,,91,102,55,24,22,13,36,0.24,1071,1.685,38,50,6.77,,,,Quartz,2,3.008,,,3.38,,,light gas gun,,0.399,,"Cherne, F. J., Rigg, P. A., Anderson, W. W., & Cooley, J. C. (2007, December). Examination of the spallation behavior of cerium metal. In AIP Conference Proceedings (Vol. 955, No. 1, pp. 489-492). American Institute of Physics."
Ce,"Long process, see the Method section",,,91,102,55,24,22,13,36,0.24,1071,1.603,38,50,6.77,,,,Quartz,2,3.008,,,2.24,,,light gas gun,,0.452,,"Cherne, F. J., Rigg, P. A., Anderson, W. W., & Cooley, J. C. (2007, December). Examination of the spallation behavior of cerium metal. In AIP Conference Proceedings (Vol. 955, No. 1, pp. 489-492). American Institute of Physics."
Ce,"Long process, see the Method section",,,91,102,55,24,22,13,36,0.24,1071,1.572,38,50,6.77,,,,Quartz,2,3.04,,,0.91,,,light gas gun,,0.41,,"Cherne, F. J., Rigg, P. A., Anderson, W. W., & Cooley, J. C. (2007, December). Examination of the spallation behavior of cerium metal. In AIP Conference Proceedings (Vol. 955, No. 1, pp. 489-492). American Institute of Physics."
Ce,"Long process, see the Method section",,,91,102,55,24,22,13,36,0.24,1071,2.075,38,50,6.77,,,,Quartz,2,5.065,,,1.12,,,light gas gun,,0.426,,"Cherne, F. J., Rigg, P. A., Anderson, W. W., & Cooley, J. C. (2007, December). Examination of the spallation behavior of cerium metal. In AIP Conference Proceedings (Vol. 955, No. 1, pp. 489-492). American Institute of Physics."
Ce,"Long process, see the Method section",,,91,102,55,24,22,13,36,0.24,1071,2.046,38,50,6.77,,,,Quartz,2,5.072,,,1.47,,,light gas gun,,0.475,,"Cherne, F. J., Rigg, P. A., Anderson, W. W., & Cooley, J. C. (2007, December). Examination of the spallation behavior of cerium metal. In AIP Conference Proceedings (Vol. 955, No. 1, pp. 489-492). American Institute of Physics."
Ce,"Long process, see the Method section",,,91,102,55,24,22,13,36,0.24,1071,4.692,38,50,6.77,,,,Mg,6,7.059,,,0.88,,,light gas gun,,0.311,,"Cherne, F. J., Rigg, P. A., Anderson, W. W., & Cooley, J. C. (2007, December). Examination of the spallation behavior of cerium metal. In AIP Conference Proceedings (Vol. 955, No. 1, pp. 489-492). American Institute of Physics."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,294,,,,,193,79,210,0.31,1768,2.13,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,473,,0.12,,59 mm bore 4-m-length gas gun,59,3.22,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,480,,,,,193,79,210,0.31,1768,2.13,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,453,,0.11,,59 mm bore 4-m-length gas gun,59,3.01,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,623,,,,,193,79,210,0.31,1768,2.14,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,384,,0.11,,59 mm bore 4-m-length gas gun,59,2.83,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,641,,,,,193,79,210,0.31,1768,2.13,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,469,,0.11,,59 mm bore 4-m-length gas gun,59,2.78,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,656,,,,,193,79,210,0.31,1768,2.12,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,446,,0.13,,59 mm bore 4-m-length gas gun,59,2.55,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,657,,,,,193,79,210,0.31,1768,2.13,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,483,,0.13,,59 mm bore 4-m-length gas gun,59,2.34,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,673,,,,,193,79,210,0.31,1768,2.13,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,449,,0.12,,59 mm bore 4-m-length gas gun,59,2.49,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,690,,,,,193,79,210,0.31,1768,2.12,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,460,,0.11,,59 mm bore 4-m-length gas gun,59,2.56,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,723,,,,,193,79,210,0.31,1768,2.13,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,443,,0.3,,59 mm bore 4-m-length gas gun,59,2.6,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,818,,,,,193,79,210,0.31,1768,2.13,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,449,,0.7,,59 mm bore 4-m-length gas gun,59,2.45,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,923,,,,,193,79,210,0.31,1768,2.12,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,465,,1.28,,59 mm bore 4-m-length gas gun,59,2.31,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,1075,,,,,193,79,210,0.31,1768,2.12,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,465,,1.03,,59 mm bore 4-m-length gas gun,59,2.12,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,1223,,,,,193,79,210,0.31,1768,2.13,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,477,,0.88,,59 mm bore 4-m-length gas gun,59,1.91,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,1295,,,,,193,79,210,0.31,1768,2.02,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,442,,0.69,,59 mm bore 4-m-length gas gun,59,1.62,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,1363,,,,,193,79,210,0.31,1768,2.04,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,449,,0.63,,59 mm bore 4-m-length gas gun,59,1.4,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,1394,,,,,193,79,210,0.31,1768,2.03,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,459,,0.59,,59 mm bore 4-m-length gas gun,59,1.21,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,1408,,,,,193,79,210,0.31,1768,2.03,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,439,,0.6,,59 mm bore 4-m-length gas gun,59,1.06,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
Co,"Square, 50*50 mm2, 2 mm thickness, plates of polycrystalline cobalt of 99.95% metal basis purity were obtained from Alfa Aesar Co",,1423,,,,,193,79,210,0.31,1768,2.03,,40,8.904±0.005,5780±20,3010±20,,Cu,0,1,57,444,,0.58,,59 mm bore 4-m-length gas gun,59,0.82,,"Zaretsky, E. B. (2010). Impact response of cobalt over the 300–1400 K temperature range. Journal of Applied Physics, 108(8)."
CrMnFeCoNi,"An equiatomic CrMnFeCoNi ingot was produced by arc-melting pure elements in a vacuum induction furnace. To refine grains, the ingot was cold-rolled to 50% and subsequently annealed at 1150 ◦C for 1.5 h. The samples for spalling experiments were machined from the annealed plate and polished with fine SiC papers. Hydrogen was introduced into the samples by using a cathodic electrochemical charging technique in 0.5 mol L􀀀 1 H2SO4 + 1 g L􀀀 1 CH4N2S (thiourea) solution with a constant current density of 100 mA cm􀀀 2 at 80 ◦C. The hydrogenation time was 48 h, and H-charged samples were immediately immersed in liquid nitrogen until tests were performed.",,,265,600,262,228,148.7,85,203,0.265,1575,3,,50,7.89,5780,,,,1,3,,500,,,,101 mm single-stage light gas gun.,101,2.15,,"Xie, Z. C., Li, C., Wang, H. Y., Lu, C., & Dai, L. H. (2021). Hydrogen induced slowdown of spallation in high entropy alloy under shock loading. International Journal of Plasticity, 139, 102944."
